prefix,base,verdict,note
a,tonal,filter,privative: a+tonal
a,flame,filter,locative: a+flame
a,round,filter,locative: a+round
a,ground,filter,locative: a+ground
a,sexual,filter,privative: a+sexual
a,shore,filter,locative: a+shore
a,social,filter,privative: a+social
a,thermic,filter,privative: a+thermic
a,biotic,filter,privative: a+biotic
a,caudal,filter,privative: a+caudal
a,causal,filter,privative: a+causal
a,buzz,filter,locative: a+buzz (in a buzz)
a,chromatic,filter,privative: a+chromatic
a,foot,filter,locative: on foot
a,float,filter,locative: in a floating state
a,blaze,filter,locative: on fire
a,drift,filter,locative: drifting
a,moral,filter,privative: without morals
a,symmetric,filter,privative: lacking symmetry
a,typical,filter,privative: not typical
a,loft,filter,locative: on high (Old English on lyft)
a,basement,allow,Old French abaissier - basement is unrelated
a,bashed,allow,Old French embaissier - bash is unrelated
a,but,allow,Old French abouter - but is unrelated
a,do,allow,from Old Norse at do - fixed phrase
a,go,allow,Old English agan - opaque to modern ear
a,head,allow,frozen locative - speakers parse as opaque
a,pathetic,allow,Greek apathētikos borrowed whole
a,spire,allow,Latin aspirare - spire (tower) is unrelated
a,void,allow,Old French esvuidier - void is unrelated
a,based,allow,Old French abaisser - based is unrelated
a,bode,allow,Old English abad - bode is unrelated
a,bodes,allow,plural of abode - bodes is unrelated
a,butter,allow,legal term from abuttor - butter is unrelated
a,jar,allow,etymology uncertain - jar is unrelated
a,cross,allow,Old Norse á kross - not parsed as a+cross today
a,gain,allow,Old English ongean - gain is unrelated
a,ware,allow,Old English gewær - ware (pottery) is unrelated
a,board,allow,locative but fully fixed nautical phrase
a,bridge,allow,Latin abbreviare - bridge is unrelated
a,bide,whatever,arguable: Old English abidan - may feel transparent
a,new,whatever,arguable: a+new - still compositional to many speakers
a,part,whatever,arguable: a+part - still transparent
a,rise,whatever,arguable: Old English arisan - still transparent
a,wait,whatever,arguable: a+wait - still transparent
a,wake,whatever,arguable: Old English awæcnan - still transparent
a,woken,whatever,arguable: past participle of awake
be,side,filter,be+side = at the side of
be,low,filter,be+low - locative
be,come,filter,be+come - still compositional
be,witch,filter,be+witch - denominative verb
be,head,filter,be+head - privative action
be,fall,filter,be+fall - verbal prefix
be,friend,filter,be+friend - denominative verb
be,loved,filter,be+loved - adjectival form
be,ware,filter,Old English bewarian (be+wary/ware)
be,fore,filter,be+fore - transparent locative (at the fore of time)
be,tween,allow,Old English betweonum - tween (demographic) is unrelated
be,half,allow,Old English behealf - half and behalf are unrelated today
be,cause,allow,from Old English bi causé - now an opaque connective
dis,able,filter,dis+able
dis,member,filter,dis+member
dis,honesty,filter,dis+honesty
dis,enchanted,filter,dis+enchanted
dis,enchant,filter,dis+enchant
dis,orient,filter,dis+orient
dis,orienting,filter,dis+orienting
dis,agree,filter,dis+agree
dis,order,filter,dis+order
dis,trust,filter,dis+trust
dis,qualify,filter,dis+qualify
dis,connect,filter,dis+connect
dis,please,filter,dis+please
dis,comfort,filter,dis+comfort
dis,parity,allow,Latin disparitas borrowed whole - parity is separate Latin paritas
dis,guise,allow,Old French desguiser - guise is semantically disconnected
dis,cover,allow,Old French descouvrir - arguable; discover ≠ un-cover semantically
dis,cuss,allow,Latin discutere - cuss is unrelated
dis,play,allow,Old French despleier - play is unrelated
dis,miss,allow,Latin dimittere - miss is unrelated
dis,arm,whatever,
dis,assemble,filter,
im,pure,filter,im+pure
im,print,whatever,im+print
im,prison,filter,im+prison
im,balance,filter,im+balance
im,mature,filter,im+mature
im,mortal,filter,im+mortal
im,perfect,filter,im+perfect
im,polite,filter,im+polite
im,possible,filter,im+possible
im,partial,filter,im+partial
im,proper,filter,im+proper (not proper)
im,mobile,filter,im+mobile
im,moral,filter,im+moral
im,patient,filter,im+patient
im,pact,allow,Latin impactus - pact is unrelated
im,peach,allow,Old French empeechier - peach (fruit) is unrelated
im,plied,allow,implied = imply+ed - not im+plied
im,port,allow,Latin importare - arguable; port (harbour) is unrelated etymologically
im,pound,allow,enclosure sense opaque vs pound weight — rhyme ok (see rhyme_spec)
im,prove,allow,Old French emprover - prove is unrelated
im,pose,allow,Latin imponere - pose is unrelated
im,pulse,allow,Latin impulsus - pulse is unrelated
im,ply,allow,Latin implicare - ply is unrelated
inter,mixed,filter,inter+mixed
inter,operate,filter,inter+operate
inter,national,filter,inter+national
inter,change,filter,inter+change
inter,face,filter,inter+face (meeting surface)
inter,lock,filter,inter+lock
inter,play,filter,inter+play
inter,link,filter,inter+link
inter,weave,filter,inter+weave
inter,act,filter,inter+act (between agents)
inter,sect,allow,cross != cult
inter,view,allow,French entrevue - interview ≠ inter+view derivationally
inter,course,allow,Latin intercursus - opaque in modern English
inter,bred,filter,
inter,breed,filter,
in,tern,allow,Latin internus - tern (seabird) is unrelated
re,orient,filter,re+orient
re,orienting,filter,re+orienting
re,organize,filter,re+organize
re,organizing,filter,re+organizing
re,open,filter,re+open
re,distribution,filter,re+distribution
re,loading,filter,re+loading
re,fitted,filter,re+fitted
re,join,filter,re+join
re,cycle,allow,
re,cycling,allow,
re,train,filter,re+train
re,derive,filter,re+derive
re,distribute,filter,re+distribute
re,write,filter,re+write
re,build,filter,re+build
re,load,filter,re+load
re,use,filter,re+use
re,form,allow,also means social improvement
re,place,allow,replace ≠ put-back-in-place etymologically but feels productive
re,dress,allow,Old French redrecier - dress is unrelated
re,percussion,allow,Latin repercussio borrowed whole
re,lied,allow,relied = rely+ed - not re+lied (misparse)
re,quest,allow,Latin requestam - quest (adventure) is unrelated
re,turn,allow,Old French retorner - different sense of turn
re,member,allow,Old French remembrer - member (limb) is unrelated
re,mind,allow,re+mind not the historical derivation
re,cord,allow,Latin recordari - cord (rope) is unrelated
re,corded,allow,Latin recordari - corded is unrelated
re,sent,allow,Old French resentir - resent ≠ re+sent (past of send)
re,veal,allow,Old French reveler - veal (meat) is unrelated
re,broadcast,filter,
re,tract,allow,pull back != screed
re,tractor,allow,backpuller != farm vehicle
re,construct,filter,
re,construction,filter,
re,constructions,filter,
sub,urban,filter,sub+urban
sub,human,filter,sub+human
sub,ordinate,filter,sub+ordinate productive morphology
sub,standard,filter,sub+standard
sub,zero,filter,sub+zero
sub,optimal,filter,sub+optimal
sub,species,filter,sub+species
sub,group,filter,sub+group
sub,type,filter,sub+type
sub,plot,filter,sub+plot
sub,marine,allow,Latin submarinus borrowed whole - marine is unrelated productively
sub,machine,filter,
sub,tract,allow,Latin subtrahere - tract (area of land) is unrelated
sub,lime,allow,Latin sublimis - lime (citrus/mineral) is unrelated
sub,due,allow,Old French soduire - due is unrelated
sub,scribe,allow,Latin subscribere - scribe (writer) sense differs
sub,merge,allow,Latin submergere - merge is semantically adjacent but borrowed whole
un,able,filter,
un,healthy,filter,
un,safe,filter,
un,kind,filter,
un,load,filter,
un,loading,filter,
un,promising,filter,
un,mixed,filter,
un,deserved,filter,
un,opened,filter,
un,sexing,filter,
un,easy,allow,uneasy has a meaning distinct from non-easy
un,fair,filter,
un,likely,filter,
un,willing,filter,
un,skilled,filter,
anti,social,filter,
anti,war,filter,
anti,biotic,filter,
anti,trust,filter,
bi,racial,filter,
bi,sect,allow,slice != cult
co,operate,allow,cooperate has a meaning that's not just operate-together
contra,indicated,filter,
de,activate,filter,
de,activating,filter,
de,compose,allow,you can't get 'rot' from de+compose
de,composition,allow,you can't get 'rot' from de+composition
de,emphasize,filter,
de,code,filter,
de,frost,filter,
en,closed,filter,
en,close,filter,
en,act,filter,
en,join,filter,
en,chant,allow,
en,chanted,allow,
ex,urb,filter,
extra,ordinary,whatever,
homo,sexual,filter,
homo,erotic,filter,
hyper,active,filter,
hyper,space,filter,
il,legal,filter,
il,legitimate,filter,
in,subordinate,filter,
mis,applied,filter,
mis,appropriate,filter,
mis,construe,filter,
mis,take,allow,mistake is more than the sum of its parts
mis,guided,filter,
multi,national,filter,
multi,task,filter,
multi,tool,filter,
multi,meter,whatever,
non,combatant,filter,
non,verbal,filter,
non,entity,filter,
off,loading,filter,
out,live,filter,
out,run,filter,
over,lay,filter,
over,load,filter,
post,game,filter,
post,war,filter,
pre,game,filter,
pre,record,filter,
pre,recorded,filter,
pre,school,filter,
super,human,filter,
super,natural,whatever,
trans,atlantic,filter,
trans,pacific,filter,
under,stand,whatever,edge case
under,lay,filter,
under,lie,filter,
under,lying,allow,lying also means deceiving
under,mine,allow,undermine doesn't mean under a mine
under,sea,filter,
up,wind,filter,
down,wind,filter,
be,labor,filter,be+labor — to discuss at length
