surface,semantic_base,skip,notes
spoiler,spoil
tiring,tire
recognizable,recognize
twinkling,twinkle
identified,identify
oceanographic,oceanography
needs,need
frantically,frantic
fulfilled,fulfill
finery,fine
asthmatic,asthma
reviving,revive
scientific,science
susceptibility,susceptible
pupal,pupa
imbecility,imbecile
foggy,fog
electricity,electric
electrify,electric
electrification,electric
diplomatically,diplomatic
decoder,decode
coder,code
criminality,criminal
sensationalizing,sensationalize
selectivity,selective
saponification,saponify
suiting,suit
artistic,artist
impossibility,impossible
prosecutorial,prosecutor
billionth,billion
cloying,cloying
nudity,nude
thieve,thief
thieves,thief
thievery,thief
abrogated,abrogate
processing,process
abandoning,abandon
mutinies,mutiny
mutineer,mutiny
mutineers,mutiny
mutinied,mutiny
mutinous,mutiny
auctioneer,auction
agreed,agree
agrees,agree
agreeing,agree
agreement,agree
agreements,agree
bumbling,bumble
stumbling,stumble
bumbles,bumble
stumbles,stumble
bumbled,bumble
stumbled,stumble
accoutrement,accoutrement
discoverer,discover
dehumanization,dehumanize
dehumanize,dehumanize
humanize,human
humanization,human
incompetence,incompetent
heraldic,herald
heraldry,herald
cherubic,cherub
cherubim,cherub
seraphim,seraph
serifs,serif,1,base 'serif' is not in word_dict so the semantic_base map can't point to it
bookkeeper,bookkeeping
bookkeeping,bookkeeping
apologize,apology
apologetic,apology
clocker,clock
abundance,abundant
abuser,abuse
happy,happy
happier,happy
happiness,happy
unhappy,unhappy
unhappier,unhappy
unhappiness,unhappy
multimillionaire,millionaire
appeared,appear
blesses,bless
eaten,eat
ladies,lady
cherries,cherry
businesses,business
asses,ass
communications,communication
embarkations,embarkation
navigations,navigation
pooping,poop
poopin',poop
making,make
makin',make
aging,age
binging,binge
arrest,arrest
arrests,arrest
arrested,arrest
arresting,arrest
arrester,arrest
